District,Date,Month,Year,Visitors
Medak ,03-01-2016,March,2016,0
Medak ,04-01-2016,April,2016,0
Medak ,05-01-2016,May,2016,0
Medak ,06-01-2016,June,2016,0
Medak ,07-01-2016,July,2016,0
Medak ,08-01-2016,August,2016,0
Medak ,09-01-2016,September,2016,0
Medak ,10-01-2016,October,2016,0
Medak ,11-01-2016,November,2016,0
Medak ,12-01-2016,December,2016,0
Medchal ,01-01-2016,January,2016,NULL
Medchal ,02-01-2016,February,2016,NULL
Medchal ,03-01-2016,March,2016,NULL
Medchal ,04-01-2016,April,2016,NULL
Medchal ,05-01-2016,May,2016,NULL
Medchal ,06-01-2016,June,2016,NULL
Medchal ,07-01-2016,July,2016,NULL
Medchal ,08-01-2016,August,2016,NULL
Medchal ,09-01-2016,September,2016,NULL
Medchal ,10-01-2016,October,2016,NULL
Medchal ,11-01-2016,November,2016,NULL
Medchal ,12-01-2016,December,2016,NULL
Nagarkurnool ,01-01-2016,January,2016,NULL
Nagarkurnool ,02-01-2016,February,2016,NULL
Nagarkurnool ,03-01-2016,March,2016,NULL
Nagarkurnool ,04-01-2016,April,2016,NULL
Nagarkurnool ,05-01-2016,May,2016,NULL
Nagarkurnool ,06-01-2016,June,2016,NULL
Nagarkurnool ,07-01-2016,July,2016,NULL
Nagarkurnool ,08-01-2016,August,2016,NULL
Nagarkurnool ,09-01-2016,September,2016,NULL
Nagarkurnool ,10-01-2016,October,2016,8
Nagarkurnool ,11-01-2016,November,2016,11
Nagarkurnool ,12-01-2016,December,2016,10
Nalgonda,01-01-2016,January,2016,0
Nalgonda,02-01-2016,February,2016,0
Nalgonda,03-01-2016,March,2016,0
Nalgonda,04-01-2016,April,2016,0
Nalgonda,05-01-2016,May,2016,0
Nalgonda,06-01-2016,June,2016,0
Nalgonda,07-01-2016,July,2016,0
Nalgonda,08-01-2016,August,2016,0
Nalgonda,09-01-2016,September,2016,0
Nalgonda,10-01-2016,October,2016,0
Nalgonda,11-01-2016,November,2016,0
Nalgonda,12-01-2016,December,2016,0
Nirmal,01-01-2016,January,2016,NULL
Nirmal,02-01-2016,February,2016,NULL
Nirmal,03-01-2016,March,2016,NULL
Nirmal,04-01-2016,April,2016,NULL
Nirmal,05-01-2016,May,2016,NULL
Nirmal,06-01-2016,June,2016,NULL
Nirmal,07-01-2016,July,2016,NULL
Nirmal,08-01-2016,August,2016,NULL
Nirmal,09-01-2016,September,2016,NULL
Nirmal,10-01-2016,October,2016,0
Nirmal,11-01-2016,November,2016,0
Nirmal,12-01-2016,December,2016,0
Nizamabad,01-01-2016,January,2016,0
Nizamabad,02-01-2016,February,2016,0
Nizamabad,03-01-2016,March,2016,0
Nizamabad,04-01-2016,April,2016,0
Nizamabad,05-01-2016,May,2016,0
Nizamabad,06-01-2016,June,2016,0
Nizamabad,07-01-2016,July,2016,0
Nizamabad,08-01-2016,August,2016,0
Nizamabad,09-01-2016,September,2016,0
Nizamabad,10-01-2016,October,2016,0
Nizamabad,11-01-2016,November,2016,0
Nizamabad,12-01-2016,December,2016,0
Peddapalli,01-01-2016,January,2016,NULL
Peddapalli,02-01-2016,February,2016,NULL
Peddapalli,03-01-2016,March,2016,NULL
Peddapalli,04-01-2016,April,2016,NULL
Peddapalli,05-01-2016,May,2016,NULL
Peddapalli,06-01-2016,June,2016,NULL
Peddapalli,07-01-2016,July,2016,NULL
Peddapalli,08-01-2016,August,2016,NULL
Peddapalli,09-01-2016,September,2016,NULL
Peddapalli,10-01-2016,October,2016,0
Peddapalli,11-01-2016,November,2016,0
Peddapalli,12-01-2016,December,2016,0
Rajanna Sircilla ,01-01-2016,January,2016,NULL
Rajanna Sircilla ,02-01-2016,February,2016,NULL
Rajanna Sircilla ,03-01-2016,March,2016,NULL
Rajanna Sircilla ,04-01-2016,April,2016,NULL
Rajanna Sircilla ,05-01-2016,May,2016,NULL
Rajanna Sircilla ,06-01-2016,June,2016,NULL
Rajanna Sircilla ,07-01-2016,July,2016,NULL
Rajanna Sircilla ,08-01-2016,August,2016,NULL
Rajanna Sircilla ,09-01-2016,September,2016,NULL
Rajanna Sircilla ,10-01-2016,October,2016,0
Rajanna Sircilla ,11-01-2016,November,2016,0
Rajanna Sircilla ,12-01-2016,December,2016,0
Ranga Reddy,01-01-2016,January,2016,NULL
