District,Date,Month,Year,Visitors
Peddapalli,12-01-2016,December,2016,1149
Rajanna Sircilla ,01-01-2016,January,2016,NULL
Rajanna Sircilla ,02-01-2016,February,2016,NULL
Rajanna Sircilla ,03-01-2016,March,2016,NULL
Rajanna Sircilla ,04-01-2016,April,2016,NULL
Rajanna Sircilla ,05-01-2016,May,2016,NULL
Rajanna Sircilla ,06-01-2016,June,2016,NULL
Rajanna Sircilla ,07-01-2016,July,2016,NULL
Rajanna Sircilla ,08-01-2016,August,2016,NULL
Rajanna Sircilla ,09-01-2016,September,2016,NULL
Rajanna Sircilla ,10-01-2016,October,2016,534484
Rajanna Sircilla ,11-01-2016,November,2016,864077
Rajanna Sircilla ,12-01-2016,December,2016,778240
Ranga Reddy,01-01-2016,January,2016,NULL
Ranga Reddy,02-01-2016,February,2016,NULL
Ranga Reddy,03-01-2016,March,2016,NULL
Ranga Reddy,04-01-2016,April,2016,NULL
Ranga Reddy,05-01-2016,May,2016,NULL
Ranga Reddy,06-01-2016,June,2016,NULL
Ranga Reddy,07-01-2016,July,2016,NULL
Ranga Reddy,08-01-2016,August,2016,NULL
Ranga Reddy,09-01-2016,September,2016,NULL
Ranga Reddy,10-01-2016,October,2016,NULL
Ranga Reddy,11-01-2016,November,2016,NULL
Ranga Reddy,12-01-2016,December,2016,NULL
Sangareddy ,01-01-2016,January,2016,NULL
Sangareddy ,02-01-2016,February,2016,NULL
Sangareddy ,03-01-2016,March,2016,NULL
Sangareddy ,04-01-2016,April,2016,NULL
Sangareddy ,05-01-2016,May,2016,NULL
Sangareddy ,06-01-2016,June,2016,NULL
Sangareddy ,07-01-2016,July,2016,NULL
Sangareddy ,08-01-2016,August,2016,NULL
Sangareddy ,09-01-2016,September,2016,NULL
Sangareddy ,10-01-2016,October,2016,274000
Sangareddy ,11-01-2016,November,2016,349000
Sangareddy ,12-01-2016,December,2016,155000
Siddipet,01-01-2016,January,2016,NULL
Siddipet,02-01-2016,February,2016,NULL
Siddipet,03-01-2016,March,2016,NULL
Siddipet,04-01-2016,April,2016,NULL
Siddipet,05-01-2016,May,2016,NULL
Siddipet,06-01-2016,June,2016,NULL
Siddipet,07-01-2016,July,2016,NULL
Siddipet,08-01-2016,August,2016,NULL
